field,id_field
3MTH_IMPVOL_100.0%MNY_DF,0
3MTH_IMPVOL_90.0%MNY_DF,0
ACCRUED_INTEREST_TO_DATE,0
ADR_SH_PER_ADR,0
ALTMAN_Z_SCORE,0
AMT_OUTSTANDING,0
ARM_INITIAL_FIXED_PERIOD_MONTHS,0
BB_COMPOSITE,0
BDVD_NEXT_EST_EX_DT,0
BETA_RAW_OVERRIDABLE,0
BLP_SPRD_TO_BENCH_LAST,0
BLP_SWAP_CURVE_NAME,0
BOND_TO_EQY_TICKER,0
BS_TOT_ASSET,0
CALC_TYP_DES,0
CALL_IMP_VOL_30D,0
CASH_SETTLED,0
CAST_PARENT_NAME,0
CDS_CASH_SETTLED_AMOUNT,0
CDS_FLAT_SPREAD,0
CDS_QUOTED_PRICE,0
CDS_RED_PAIR_CODE,0
CDS_REPL,0
CDS_RR,0
CNTRY_OF_DOMICILE,0
CNTRY_OF_INCORPORATION,0
CNTRY_OF_RISK,0
COLLAT_TYP,0
CONTINGENT_CNVS_END_DT,0
CONTINGENT_CONVERSION,0
CONTRACT_VALUE,0
CONVERTIBLE,0
CORP_BOND_INDICATOR,0
COUNT_INDEX_MEMBERS,0
COUNTRY,0
COUNTRY_FULL_NAME,0
COUNTRY_ISO,0
COUNTRY_RISK_ISO_CODE,0
COUPON,0
CPN,0
CPN_TYP,0
CRNCY,0
CRNCY_ADJ_MKT_CAP,0
CRNCY_ADJ_PX_LAST,0
CUR_CPN,0
CUR_MKT_CAP,0
CURVE_ID,0
CURVE_ISSUER,0
CURVE_NAME,0
CURVE_SUBTYPE,0
CURVE_TERMS,0
CURVE_TYPE,0
CV_CNVS_RATIO,0
CV_COMMON_TICKER,0
CV_COMMON_TICKER_EXCH,0
CV_MODEL_PARITY,0
CV_PARITY,0
CV_STOCK_PX,0
DAY_CNT_DES,0
DAYS_TO_MTY,0
DDIS_CURRENCY,0
DEFAULTED,0
DS086,0
DS156,0
DS213,0
DS530,0
DS674,0
DSB_REFERENCE_RATE,0
DUR_ADJ_OAS_MID,0
DVD_EX_DT,0
DX615,0
EQY_BETA,0
EQY_FLOAT,0
EQY_FUND_CRNCY,0
EQY_SH_OUT,0
EQY_SH_OUT_REAL,0
ETF_UNDL_INDEX_TICKER,0
EXCH_CODE,0
FIRST_SETTLE_DT,0
FLT_SPREAD,0
FUND_ASSET_CLASS_FOCUS,0
FUND_GEO_FOCUS,0
FUND_LEVERAGE_AMOUNT,0
FUND_NET_ASSET_VAL,0
FUND_OBJECTIVE_LONG,0
FUNDAMENTALS_TICKER,0
FUT_CONT_SIZE,0
FUT_CTD_CUSIP,0
FUT_EXCH_NAME_LONG,0
FUT_VAL_PT,0
FUTURES_CATEGORY,0
GICS_INDUSTRY_GROUP_NAME,0
GICS_INDUSTRY_NAME,0
GICS_SECTOR_NAME,0
GICS_SUB_INDUSTRY_NAME,0
HEALTH_GRADE,0
HIGH_52WEEK,0
ICB_INDUSTRY_NAME,0
ICB_SECTOR_NAME,0
ICB_SUBSECTOR_NAME,0
ICB_SUPERSECTOR_NAME,0
ID_BB_GLOBAL,1
ID_BB_GLOBAL_ULT_PARENT_CO_NAME,0
ID_BB_UNIQUE,1
ID_CUSIP,1
ID_CUSIP_REAL,0
ID_EXCH_SYMBOL,0
ID_ISIN,1
ID_SEDOL1,1
IDX_RATIO,0
INDUSTRY_GROUP,0
INDUSTRY_SECTOR,0
INDUSTRY_SUBGROUP,0
INFLATION_LINKED_INDICATOR,0
INT_ACC,0
INVERSE_FUND_INDICATOR,0
ISSUER,0
ISSUER_BULK,0
ISSUER_INDUSTRY,0
ISSUERS_STOCK,0
IVOL,0
IVOL_ASK,0
IVOL_MID,0
KEY_RATE_DUR_10YR,0
KEY_RATE_DUR_15YR,0
KEY_RATE_DUR_1YR,0
KEY_RATE_DUR_20YR,0
KEY_RATE_DUR_25YR,0
