id_bb_global,id_isin,id_cusip,id_sedol1,ticker,name,exch_code,issuer,market_sector_des
BBG00M6Q1G73,US86562MBE93,86562MBE9,,SUMIBK,SUMITOMO MITSUI FINL GRP,LUXEMBOURG,SUMITOMO MITSUI FINL GRP,Corp
BBG00M6NCQ03,XS1894558102,AU9091243,BGHHDV7,CPIPGR,CPI PROPERTY GROUP SA,DUBLIN,CPI PROPERTY GROUP SA,Corp
BBG001DLF483,US40414LAD10,40414LAD1,B4M5VN0,HCP,HCP INC,NEW YORK,HCP INC,Corp
BBG006JN2YG1,US200340AP22,200340AP2,BMW3WN7,CMA,COMERICA INC ,,COMERICA INC,Corp
BBG00K9516J9,US98956PAP71,98956PAP7,BD5GPH5,ZBH,ZIMMER BIOMET HLDGS INC ,,ZIMMER BIOMET HOLDINGS,Corp
BBG00D1KW054,US172967KS95,172967KS9,BD203K9,C,CITIGROUP INC ,,CITIGROUP INC,Corp
BBG00FXTPNR9,US037833CL24,037833CL2,BDVPXB6,AAPL,APPLE INC ,,APPLE INC,Corp
BBG005TGPQS6,US609207AC96,609207AC9,BLNPBK5,MDLZ,MONDELEZ INTL INC ,,MONDELEZ INTERNATIONAL,Corp
BBG00FGCS0L8,US94988J5G85,94988J5G8,BDSFRZ1,WFC,WELLS FARGO BANK NATL ASSN ,,WELLS FARGO BANK NA,Corp
BBG00C85L2X9,US00206RCX89,00206RCX8,BD20M57,T,AT T INC ,,AT&T INC,Corp
BBG00DS4Q0Z5,US14042RBU41,14042RBU4,BD37K20,COF,CAPITAL ONE NATL ASSN VA ,,CAPITAL ONE NA,Corp
BBG006W7KHH7,US278642AH64,278642AH6,BPFK1N9,EBAY,EBAY INC ,,EBAY INC,Corp
BBG00J3M6410,US345397YR84,345397YR8,BF3CT88,F,FORD MOTOR CREDIT CO LLC ,,FORD MOTOR CREDIT CO LLC,Corp
BBG009Z17JF4,US38141GVQ45,38141GVQ4,BZ0V2G7,GS,GOLDMAN SACHS GROUP INC ,,GOLDMAN SACHS GROUP INC,Corp
BBG0000JYT24,US92553PAD42,92553PAD4,B42N7N6,VIA,VIACOM INC NEW ,,VIACOM INC,Corp
BBG006RZFC15,US87165BAB99,87165BAB9,BPYKS40,SYF,SYNCHRONY FINL ,,SYNCHRONY FINANCIAL,Corp
BBG00JRPZJC0,US94988J5L70,94988J5L7,BFNJ7Z2,WFC,WELLS FARGO BANK NATL ASSN ,,WELLS FARGO BANK NA,Corp
BBG00K9NFDG3,US92924FAD87,92924FAD8,BGDMZ10,WGL,WGL HLDGS INC ,,WGL HOLDINGS INC,Corp
BBG00JVXWLS9,US81663AAF21,81663AAF2,BDQQ1T8,SEMG,SEMGROUP CORP 7.25% 03/15/26 ,,SEMGROUP CORP,Corp
BBG003L898S5,US29977HAB69,29977HAB6,B905NS6,EPENEG,EVEREST ACQUI 9.375% 05/01/20 ,,EP ENER/EVEREST ACQ FIN,Corp
BBG00LK8HBM6,US61237WAE66,61237WAE6,,MNTEFI,MONTEFIORE ME 5.246% 11/01/48 ,,MONTEFIORE OBLIGATED GRP,Corp
BBG00KVRRJL7,US209111FQ16,209111FQ1,BFZYKL2,ED,CONSOLIDATED ED 4.5% 05/15/58 ,,CONSOLIDATED EDISON CO O,Corp
BBG005FHWGG6,US55933JAB08,55933JAB0,BGR6PX0,MX,MAGNACHIP SEM 6.625% 07/15/21 ,,MAGNACHIP SEMICONDUCTOR,Corp
BBG00LJZ7YP6,US15236AAA97,15236AAA9,,CNTRLH,CENTRA HEALTH 4.7% 01/01/48 ,,CENTRA HEALTH INC,Corp
BBG0063NCKH6,US561234AE52,561234AE5,BLD2XV1,MNK,MALLINCKRODT I 4.75% 04/15/23 ,,MALLINCKRODT INTL FIN,Corp
BBG00CWZSJC5,US27890GAB68,27890GAB6,BYYS4D8,ECR,ECLIPSE RESOU 8.875% 07/15/23 ,,ECLIPSE RESOURCES CORP,Corp
BBG00LLKGPS2,US956708AA97,956708AA9,BG09ZJ2,WVUHOG,WEST VIRGINIA 4.924% 06/01/48 ,,WEST VA HEALTH SYS OBL,Corp
BBG00K25NS77,US20369EAD40,20369EAD4,,COMHOS,COMMUNITY HEAL 4.94% 05/01/58 ,,COMMUNITY HEALTH NETWORK,Corp
BBG00DZDWHM7,US740816AN32,740816AN3,BYWY9S8,HARVRD,PRESIDENT & FEL 3.3% 07/15/56 ,,PRES & FELLOWS OF HARVAR,Corp
BBG00GSL5KM3,US62952EAE77,62952EAE7,BF29YJ6,NYUHOS,NYU HOSPITALS 4.368% 07/01/47 ,,NYU HOSPITALS CENTER,Corp
BBG008LFPZ00,US94974BGK08,94974BGK0,BX2H0V0,WFC,WELLS FARGO & C 3.9% 05/01/45 ,,WELLS FARGO & COMPANY,Corp
BBG00M897H44,US205887CA82,205887CA8,BGGM5Y0,CAG,CONAGRA BRANDS 4.3% 05/01/24 ,,CONAGRA BRANDS INC,Corp
BBG006XZ10D6,US74456QBH83,74456QBH8,BPYKS73,PEG,PUBLIC SERVICE 3.15% 08/15/24 ,,PUBLIC SERVICE ELECTRIC,Corp
BBG00CW1J727,US166764BL33,166764BL3,BYP8MZ5,CVX,CHEVRON CORPO 2.954% 05/16/26 ,,CHEVRON CORP,Corp
BBG00KVT3MQ7,US023135BJ40,023135BJ4,BFMLMY3,AMZN,AMAZON.COM IN 4.05% 08/22/47 ,,AMAZON.COM INC,Corp
BBG008HKPGH8,US06051GFQ73,06051GFQ7,BWX8CG4,BAC,BANK OF AMERIC 4.75% 04/21/45 ,,BANK OF AMERICA CORP,Corp
BBG003563VP5,US87612EBA38,87612EBA3,B8HK5Z8,TGT,TARGET CORPORATIO 4% 07/01/42 ,,TARGET CORP,Corp
BBG00FVNZ7R8,US16876BAA08,16876BAA0,BG88DP3,BOSCHI,CHILDRENS HO 4.115% 01/01/47 ,,CHILDREN'S HOSPITAL CORP,Corp
BBG009QY2TV7,US494368BR33,494368BR3,BYQK8H4,KMB,KIMBERLY-CLARK 3.05% 08/15/25 ,,KIMBERLY-CLARK CORP,Corp
BBG002S0G6T2,US48305QAB95,48305QAB9,B7XL9F6,KPERM,KAISER FOUNDA 4.875% 04/01/42 ,,KAISER FOUNDATION HOSPIT,Corp
BBG0091NQBG8,US46625HLL23,46625HLL2,BY8L4X3,JPM,JPMORGAN CHASE 4.95% 06/01/45 ,,JPMORGAN CHASE & CO,Corp
BBG00JSKYWV1,US445587AC20,445587AC2,BD736C6,HUNTCO,HUNT COMPANIES 6.25% 02/15/26 ,,HUNT COS INC,Corp
BBG0000H5309,US38141GFD16,38141GFD1,B283338,GS,THE GOLDMAN SA 6.75% 10/01/37 ,,GOLDMAN SACHS GROUP INC,Corp
BBG00GSN79V2,US136385AW17,136385AW1,BF0P366,CNQCN,CANADIAN NATUR 2.95% 01/15/23 ,,CANADIAN NATL RESOURCES,Corp
BBG00000F9S2,US65334HAG74,65334HAG7,B1WV0T6,CNOOC,NEXEN INC. 6.4% 05/15/37 ,,NEXEN ENERGY ULC,Corp
BBG00JCQ6Y42,US01609WAW29,01609WAW2,BFDVG95,BABA,ALIBABA GROUP H 4.4% 12/06/57 ,,ALIBABA GROUP HOLDING,Corp
BBG00L7VNK89,US902674XN57,902674XN5,BFXXB18,UBS,UBS AG LONDON 4.5% 06/26/48 ,,UBS AG LONDON,Corp
BBG00JZD3WT6,US23745QAA22,23745QAA2,BG04CD0,DARTHH,DARTMOUTH-HIT 4.178% 08/01/48 ,,DARTMOUTH-HITCH HEALTH,Corp
BBG00GGV95N2,US172967LJ87,172967LJ8,BF1ZBM7,C,CITIGROUP INC 4.281% 04/24/48 ,,CITIGROUP INC,Corp
BBG00CMN2746,US89837RAD44,89837RAD4,BYYYV24,DARMTH,TRUSTEES OF D 3.474% 06/01/46 ,,DARTMOUTH COLLEGE,Corp
BBG00CSJL5R7,US04351LAB62,04351LAB6,BYYXY44,ASCHEA,ASCENSION HEA 3.945% 11/15/46 ,,ASCENSION HEALTH,Corp
BBG00008FY82,US44841SAC35,44841SAC3,7723742,CKHH,HUTCHISON WHAM 7.45% 11/24/33 ,,HUTCHISON WHAM INT 03/33,Corp
BBG00829QXX3,US586054AC25,586054AC2,BVFB1T0,MSKCC,MEMORIAL SLOAN- 4.2% 07/01/55 ,,MEMORIAL SLOAN-KETTERING,Corp
BBG0038JDLR3,US44107TAT34,44107TAT3,B7ZG733,HST,HOST HOTELS & 4.75% 03/01/23 ,,HOST HOTELS & RESORTS LP,Corp
BBG008LNSP02,US713448CT37,713448CT3,BWSSM70,PEP,PEPSICO CAPITA 2.75% 04/30/25 ,,PEPSICO INC,Corp
BBG00004SY69,US842400ES88,842400ES8,2317894,EIX,SOUTHERN CALIFORN 6% 01/15/34 ,,SOUTHERN CAL EDISON,Corp
BBG008R2MLR8,US38148LAF31,38148LAF3,BY58YT3,GS,GOLDMAN SACHS 5.15% 05/22/45 ,,GOLDMAN SACHS GROUP INC,Corp
BBG0000GGM89,US92976GAG64,92976GAG6,B1PB082,WFC,WACHOVIA BANK 5.85% 02/01/37 ,,WELLS FARGO BANK NA,Corp
BBG00HPS72L8,US667274AC84,667274AC8,BF52DS4,NSHRLI,NORTHWELL HEAL 4.26% 11/01/47 ,,NORTHWELL HEALTHCARE INC,Corp
BBG00L9GLY46,US12543DBB55,12543DBB5,BD6JMG1,CYH,COMMUNITY HEA 8.625% 01/15/24 ,,CHS/COMMUNITY HEALTH SYS,Corp
BBG009LL2HB8,US94974BGL80,94974BGL8,BYQXN34,WFC,WELLS FARGO & C 4.3% 07/22/27 ,,WELLS FARGO & COMPANY,Corp
BBG00BW1SZV5,US035242AM81,035242AM8,BYMLCL3,ABIBB,ANHEUSER-BUSCH 4.7% 02/01/36 ,,ANHEUSER-BUSCH INBEV FIN,Corp
BBG00JSBK2J6,US06051GHA04,06051GHA0,BD49X71,BAC,BANK OF AMERI 3.946% 01/23/49 ,,BANK OF AMERICA CORP,Corp
BBG0000JPYG8,US46625HHS22,46625HHS2,B46G7F3,JPM,JPMORGAN CHASE 4.4% 07/22/20 ,,JPMORGAN CHASE & CO,Corp
BBG00LWYJBD4,US37045VAT70,37045VAT7,BGLRQ81,GM,GENERAL MOTORS 5.95% 04/01/49 ,,GENERAL MOTORS CO,Corp
BBG00MCKXMM4,US494368BY83,494368BY8,BGLPK38,KMB,KIMBERLY-CLARK 3.95% 11/01/28 ,,KIMBERLY-CLARK CORP,Corp
BBG00LG0KP52,US17325FAQ19,17325FAQ1,BFMYW20,C,CITIBANK N.A. 3.4% 07/23/21 ,,CITIBANK NA,Corp
BBG0067V1N80,US136385AT87,136385AT8,BL10MM1,CNQCN,CANADIAN NATURA 3.8% 04/15/24 ,,CANADIAN NATL RESOURCES,Corp
BBG00CXBCM64,US404280AY54,404280AY5,BD0QRN0,HSBC,HSBC HOLDINGS 2.95% 05/25/21 ,,HSBC HOLDINGS PLC,Corp
BBG00J6DLPD0,US911312BM79,911312BM7,BDRYRP9,UPS,UNITED PARCEL 3.05% 11/15/27 ,,UNITED PARCEL SERVICE,Corp
BBG00LQ0KRQ4,US037411BE40,037411BE4,BGHJVM0,APA,APACHE CORPOR 4.375% 10/15/28 ,,APACHE CORP,Corp
BBG00F0TZ3D3,US06051GGA13,06051GGA1,BD5FYQ4,BAC,BANK OF AMERI 3.248% 10/21/27 ,,BANK OF AMERICA CORP,Corp
BBG00LNJ2SS2,US09659W2F00,09659W2F0,BFXHND6,BNP,BNP PARIBAS 4.4% 08/14/28 ,,BNP PARIBAS,Corp
BBG005PFYH75,,P4954WAA8,,IDESA,GRUPO IDESA S A DE C V,,GRUPO IDESA SA DE CV,Corp
BBG002Z1G3M6,,N01766AA7,,AJECBV,AJECORP BV,,AJECORP BV,Corp
BBG005K01X47,US49326EEE95,49326EEE9,BGD8XR0,KEY,KEYCORP 2.300% 12/13/18 SR:MTN,,KEYCORP,Corp
BBG005BTJNX5,US931142DJ92,931142DJ9,BF6DYH2,WMT,WALMART INC 1.950% 12/15/18,,WALMART INC,Corp
BBG005K02JD7,US69362BAZ58,69362BAZ5,BGD7WG9,PEG,PSEG POWER LLC 2.450% 11/15/18,,PSEG POWER LLC,Corp
BBG009S1P8L9,US254672UH98,254672UH9,BYTLX80,DFS,DISCOVER BANK 2.600% 11/13/18,,DISCOVER BANK,Corp
BBG005MBTNS7,US00206RCA86,00206RCA8,BGPGPF4,T,AT&T INC 2.375% 11/27/18,,AT&T INC,Corp
BBG00006W9J0,US501044BM24,501044BM2,2325303,KR,KROGER CO 6.800% 12/15/18,,KROGER CO,Corp
BBG00MH8SKF4,US55336VAT70,55336VAT7,,MPLX,MPLX LP 5.500% 02/15/49,,MPLX LP,Corp
BBG005KRYTP8,US00912XAL82,00912XAL8,BGJ4WD1,AL,AIR LEASE CORP 3.375% 01/15/19,,AIR LEASE CORP,Corp
BBG00KG27DV3,US67077MAH16,67077MAH1,BFZ6QK9,NTRCN,NUTRIEN LTD 6.750% 01/15/19,,NUTRIEN LTD,Corp
BBG00000HSH0,US71713UAQ58,71713UAQ5,2745581,PFE,PHARMACIA LLC 6.500% 12/01/18,,PHARMACIA LLC,Corp
BBG00008PD14,US931422AE91,931422AE9,B65PLC0,WBA,WALGREEN CO 5.250% 01/15/19,,WALGREEN CO,Corp
BBG005NLQVL6,US00928QAL59,00928QAL5,BH3XG28,AYR,AIRCASTLE LTD 4.625% 12/15/18,,AIRCASTLE LTD,Corp
BBG00BDPY793,US166764BA77,166764BA7,BYQ29D3,CVX,CHEVRON CORP 1.790% 11/16/18,,CHEVRON CORP,Corp
BBG0000RLQY1,US98385XAT37,98385XAT3,B3CGKJ5,XOM,XTO ENERGY INC 6.500% 12/15/18,,XTO ENERGY INC,Corp
BBG003C4QG34,US05968LAH50,05968LAH5,B747XF1,BCOLO,BANCOLOMBIA SA 5.125% 09/11/22,,BANCOLOMBIA SA,Corp
BBG00HG7QLH6,XS1634003831,163400383,BF51Z74,CELLSA,CELL C PTY LTD 8.625% 08/02/20,,CELL C PTY LTD,Corp
BBG00DBK8CZ1,USP3063XAF52,P3063XAF5,,CLISA,COMPANIA LATINOAMERICA DE,,CIA LATINO AMERICANA,Corp
BBG00582F0G1,US279158AE95,279158AE9,BDV0K98,ECOPET,ECOPETROL SA 7.375% 09/18/43,,ECOPETROL SA,Corp
BBG00000W4J4,US893830AT68,893830AT6,B29V1L5,RIG,TRANSOCEAN INC 6.800% 03/15/38,,TRANSOCEAN INC,Corp
BBG00H0JVHX2,USP4954BAF33,AO0647039,,KUOBMM,GRUPO KUO SAB DE CV,,GRUPO KUO SAB DE CV,Corp
BBG00C7QBDN2,US459200JH57,459200JH5,BYN2GX5,IBM,INTERNATIONAL BUSINESS MACHS ,,IBM CORP,Corp
BBG00333HJC0,US244199BF15,244199BF1,B87L119,DE,DEERE & CO ,,DEERE & COMPANY,Corp
BBG002VN7556,US037411BA28,037411BA2,B7XL9Z6,APA,APACHE CORP ,,APACHE CORP,Corp
BBG00L05Y3V3,US92857WBM10,92857WBM1,BYWFVF2,VOD,VODAFONE GROUP PLC NEW ,,VODAFONE GROUP PLC,Corp
BBG00DDZTGK0,US50077LAB27,50077LAB2,BD7YG30,KHC,KRAFT HEINZ FOODS CO ,,KRAFT HEINZ FOODS CO,Corp
BBG00CBV9RR4,US487836BQ08,487836BQ0,BD31BB8,K,K 4 1/2 04/01/46 ,,KELLOGG CO,Corp
BBG004WB7ZQ8,US62952EAB39,62952EAB3,BCJSQG6,NYUHOS,NYU HOSPITALS 5.75% 07/01/43 ,,NYU HOSPITALS CENTER,Corp
BBG00FVNGFP3,US459200JR30,459200JR3,BD06B61,IBM,INTERNATIONAL B 3.3% 01/27/27 ,,IBM CORP,Corp
BBG00JQ084Q4,US85434VAA61,85434VAA6,BZ5ZP21,STNFHC,STANFORD HEAL 3.795% 11/15/48 ,,STANFORD HEALTH CARE,Corp
BBG005K34GH1,US694308HF70,694308HF7,BGDRYG3,PCG,PACIFIC GAS A 5.125% 11/15/43 ,,PACIFIC GAS & ELECTRIC,Corp
BBG008NVBYW6,US42829LAC81,42829LAC8,BZ0YBL4,HXN,HEXION INC 10.000% 04/15/20,,HEXION INC,Corp
BBG00GKL6BN9,US48305QAC78,48305QAC7,BF0YLP8,KPERM,KAISER FOUNDAT 3.15% 05/01/27 ,,KAISER FOUNDATION HOSPIT,Corp
BBG00FRY86T9,US61746BEG77,61746BEG7,BYM4WR8,MS,MORGAN STANLE 4.375% 01/22/47 ,,MORGAN STANLEY,Corp
BBG006WVHRQ6,US69336TAH95,69336TAH9,BQN1CG1,PHII,PHI INC 5.250% 03/15/19,,PHI INC,Corp
BBG000050N33,US171875AD97,171875AD9,2319395,CBB,CINC BELL TEL 6.300% 12/01/28,,CINC BELL TEL,Corp
BBG0043NT6J2,US428040CN71,428040CN7,B9K5QS7,HTZ,HERTZ CORP 6.250% 10/15/22,,HERTZ CORP,Corp
BBG00HC1YVG3,US939648AE19,939648AE1,BF22PS1,WPG,WASHINGTON PRIME GROUP LP ,,WASHINGTON PG LP,Corp
