"ID_BB_GLOBAL","FIELD","VALUE","SOURCE","TSTAMP"
"BBG000001998","NAME","TABERNA PFD FNDG VII","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001998","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000019C4","NAME","TABERNA PFD FNDG VII","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000019C4","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001C73","NAME","TABERNA PFD FNDG VII","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001C73","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001FR4","NAME","ACACIA CDO 5 LTD/INC","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001FR4","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001KN7","NAME","ACACIA CDO 5 LTD/INC","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001KN7","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001MG1","NAME","GRUPO MUND TENED","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001MG1","CPN","7.250000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001VS8","NAME","COLLYBUS CDO LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000001VS8","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000002577","NAME","XLIT LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000002577","CPN","2.633880","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000033H0","NAME","HIGHRIDGE ABS CDO II","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000033H0","CPN",".294690","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000035C0","NAME","BAFC 2007-NIM2 LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000035C0","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000003870","NAME","DUKE FUNDING I","corp_pdf.diff",2021-05-12 14:33:15
"BBG000003870","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000003ZY0","NAME","KLEROS PREF FUNDING VI","corp_pdf.diff",2021-05-12 14:33:15
"BBG000003ZY0","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000046H2","NAME","DEUTSCHE ALT-A SEC NIM","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000046H2","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000046Y3","NAME","MAC FUNDING II LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000046Y3","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000047J8","NAME","MAC FUNDING II LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000047J8","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000004PM4","NAME","AMER OVERSEAS REINSURAN","corp_pdf.diff",2021-05-12 14:33:15
"BBG000004PM4","CPN","6.276000","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000061F3","NAME","LASALLE RE HOLDINGS LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000061F3","CPN","8.750000","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000065R1","NAME","ESSROC OFFSHORE LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000065R1","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000006GX0","NAME","BANCAJA EUROCAPITAL FIN","corp_pdf.diff",2021-05-12 14:33:15
"BBG000006GX0","CPN","-20.286000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000006WP4","NAME","ALPHA-SIRES LTD SER 164","corp_pdf.diff",2021-05-12 14:33:15
"BBG000006WP4","CPN","7.825000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007JY2","NAME","ENHANCED LN FACILITY III","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007JY2","CPN","3.176380","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007JZ1","NAME","ENHANCED LN FACILITY III","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007JZ1","CPN","3.176380","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007KX0","NAME","BANIF FINANCE LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007KX0","CPN","N.A.","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007SH1","NAME","PASADENA CDO LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007SH1","CPN","12.000000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007YL3","NAME","ACACIA CDO 6 LTD/INC","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007YL3","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007YM2","NAME","ACACIA CDO 6 LTD/INC","corp_pdf.diff",2021-05-12 14:33:15
"BBG000007YM2","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000080F3","NAME","JUPITER HIGH GRADE CDO","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000080F3","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000080G2","NAME","JUPITER HIGH GRADE CDO","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000080G2","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000080H1","NAME","JUPITER HIGH GRADE CDO","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000080H1","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000083B1","NAME","DUNHILL ABS CDO LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000083B1","CPN","4.200000","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000083C0","NAME","DUNHILL ABS CDO LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000083C0","CPN","4.200000","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000083D9","NAME","DUNHILL ABS CDO LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000083D9","CPN","4.200000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008BP8","NAME","SCOTTISH RE GROUP LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008BP8","CPN","7.250000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008S62","NAME","TABERNA PFD FUNDING V","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008S62","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008SR9","NAME","TABERNA PFD FUNDING V","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008SR9","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008XM3","NAME","ABS CAPITAL FUNDING LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008XM3","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008XY0","NAME","ABS CAPITAL FUNDING LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008XY0","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008Y41","NAME","ABS CAPITAL FUNDING LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008Y41","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008YG8","NAME","MKP CBO II LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008YG8","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
